quarter,level_1,level_2,value
2015-Q3,Residential Properties,Landed,163.7
2015-Q3,Residential Properties,Non-landed,137.7
2015-Q4,Residential Properties,Landed,160.8
2015-Q4,Residential Properties,Non-landed,137.4
2016-Q1,Residential Properties,Landed,159
2016-Q1,Residential Properties,Non-landed,136.6
2016-Q2,Residential Properties,Landed,156.6
2016-Q2,Residential Properties,Non-landed,136.5
2016-Q3,Residential Properties,Landed,152.4
2016-Q3,Residential Properties,Non-landed,134.9
2016-Q4,Residential Properties,Landed,153.6
2016-Q4,Residential Properties,Non-landed,133.8
2017-Q1,Residential Properties,Landed,150.8
2017-Q1,Residential Properties,Non-landed,133.8
2017-Q2,Residential Properties,Landed,150.3
2017-Q2,Residential Properties,Non-landed,133.7
2017-Q3,Residential Properties,Landed,152.1
2017-Q3,Residential Properties,Non-landed,134.5
2017-Q4,Residential Properties,Landed,152.9
2017-Q4,Residential Properties,Non-landed,135.6
2018-Q1,Residential Properties,Landed,155.8
2018-Q1,Residential Properties,Non-landed,141.6
2018-Q2,Residential Properties,Landed,162.2
2018-Q2,Residential Properties,Non-landed,146.1
2018-Q3,Residential Properties,Landed,165.9
2018-Q3,Residential Properties,Non-landed,146.1
2018-Q4,Residential Properties,Landed,162.6
2018-Q4,Residential Properties,Non-landed,146.8
2019-Q1,Residential Properties,Landed,164.4
2019-Q1,Residential Properties,Non-landed,145.2
2019-Q2,Residential Properties,Landed,164.2
2019-Q2,Residential Properties,Non-landed,148.1
2019-Q3,Residential Properties,Landed,165.8
2019-Q3,Residential Properties,Non-landed,150
2019-Q4,Residential Properties,Landed,171.8
2019-Q4,Residential Properties,Non-landed,149.6
2020-Q1,Residential Properties,Landed,170.3
2020-Q1,Residential Properties,Non-landed,148.1
