"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"9096","SINGA HILLS","JALAN SINGA","Apartment","14","OCR","Freehold","Resale","1","1175000","-","872","Strata","01 to 05","1348","May-2017"
"9097","ST PATRICK'S RESIDENCES","ST. PATRICK'S ROAD","Apartment","15","OCR","Freehold","Resale","1","1725000","-","1453","Strata","01 to 05","1187","May-2017"
"9098","ST PATRICK'S RESIDENCES","ST. PATRICK'S ROAD","Apartment","15","OCR","Freehold","Resale","1","1750000","-","1518","Strata","01 to 05","1153","May-2017"
"9099","PARC ELEGANCE","TELOK KURAU ROAD","Apartment","15","OCR","Freehold","Resale","1","1050000","-","947","Strata","01 to 05","1108","May-2017"
"9100","SKY@ELEVEN","THOMSON LANE","Condominium","11","CCR","Freehold","Resale","1","3108000","-","2271","Strata","11 to 15","1368","May-2017"
"9101","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2620000","-","1281","Strata","21 to 25","2045","May-2017"
"9102","MANDARIN GARDENS","SIGLAP ROAD","Condominium","15","OCR","99 yrs lease commencing from 1982","Resale","1","1818000","-","2034","Strata","16 to 20","894","May-2017"
"9103","WATTEN ESTATE CONDOMINIUM","SHELFORD ROAD","Condominium","11","CCR","Freehold","Resale","1","2580000","-","2465","Strata","01 to 05","1047","May-2017"
"9104","LA SUISSE","SWISS VIEW","Condominium","11","CCR","999 yrs lease commencing from 1878","Resale","1","2300000","-","2131","Strata","01 to 05","1079","May-2017"
"9105","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","2095000","-","872","Strata","26 to 30","2403","May-2017"
"9106","THE HACIENDA","HACIENDA GROVE","Condominium","15","OCR","Freehold","Resale","1","2300000","-","2196","Strata","01 to 05","1047","May-2017"
"9107","SUNSHINE MANSIONS","JOO CHIAT PLACE","Apartment","15","OCR","Freehold","Resale","1","938000","-","786","Strata","01 to 05","1194","May-2017"
"9108","D' ALMIRA","SOMMERVILLE ROAD","Apartment","13","OCR","Freehold","Resale","1","1350000","-","1227","Strata","01 to 05","1100","May-2017"
"9109","ONE K GREENLANE","GREEN LANE","Apartment","15","RCR","Freehold","Resale","1","1500000","-","1604","Strata","01 to 05","935","May-2017"
"9110","PALMERA EAST","LORONG MELAYU","Apartment","14","OCR","Freehold","Resale","1","595000","-","431","Strata","01 to 05","1382","May-2017"
"9111","MANDARIN GARDENS","SIGLAP ROAD","Condominium","15","OCR","99 yrs lease commencing from 1982","Resale","1","1200000","-","1528","Strata","06 to 10","785","May-2017"
"9112","THE MEYERISE","MEYER ROAD","Condominium","15","RCR","Freehold","Resale","1","1770000","-","883","Strata","26 to 30","2005","May-2017"
"9113","PEBBLE BAY","TANJONG RHU ROAD","Condominium","15","RCR","99 yrs lease commencing from 1994","Resale","1","1470000","-","1281","Strata","01 to 05","1148","May-2017"
"9114","CUBE 8","THOMSON ROAD","Condominium","11","CCR","Freehold","Resale","1","1750000","-","1475","Strata","21 to 25","1187","May-2017"
"9115","THE SERENNO","HAIG ROAD","Apartment","15","RCR","Freehold","Resale","1","676000","-","484","Strata","01 to 05","1396","May-2017"
"9116","LAGUNA PARK","MARINE PARADE ROAD","Apartment","15","OCR","99 yrs lease commencing from 1977","Resale","1","1385000","-","1615","Strata","06 to 10","858","Apr-2017"
"9117","TAIPAN GRAND","MARINE PARADE ROAD","Apartment","15","OCR","Freehold","Resale","1","1300000","-","1227","Strata","06 to 10","1059","Apr-2017"
"9118","PARK EAST","JALAN TUA KONG","Condominium","15","OCR","Freehold","Resale","1","2000000","-","1970","Strata","06 to 10","1015","Apr-2017"
"9119","CANBERLIN APARTMENTS","LORONG 16 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","898000","-","1259","Strata","06 to 10","713","Apr-2017"
"9120","NADIA MANSIONS","AH HOOD ROAD","Apartment","12","RCR","Freehold","Resale","1","1950000","-","2282","Strata","01 to 05","855","Apr-2017"
"9121","THE CENTREN","LORONG 27 GEYLANG","Apartment","14","RCR","Freehold","Resale","1","1100000","-","1001","Strata","01 to 05","1099","Apr-2017"
"9122","LE REGAL","GEYLANG ROAD","Apartment","14","RCR","Freehold","Resale","1","478000","-","420","Strata","01 to 05","1139","Apr-2017"
