"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"1337","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5102","3000 to 3500","May-2017"
"1338","LANDED HOUSING DEVELOPMENT","JALAN JARAK","28","Semi-Detached House","na*","4100","2000 to 2500","May-2017"
"1339","SELETAR HILLS ESTATE","JALAN REDOP","28","Semi-Detached House","na*","3600","1000 to 1500","May-2017"
"1340","MIMOSA TERRACE","MIMOSA TERRACE","28","Terrace House","na*","3300","2000 to 2500","May-2017"
"1341","SEMBAWANG SPRINGS ESTATE","JALAN CHERPEN","27","Detached House","na*","4300","1000 to 1500","May-2017"
"1342","SELETAR HILLS ESTATE","NERAM ROAD","28","Terrace House","na*","3300","1000 to 1500","May-2017"
"1343","SELETAR HILLS ESTATE","SELETAR HILLS DRIVE","28","Terrace House","na*","3000","1500 to 2000","May-2017"
"1344","LANDED HOUSING DEVELOPMENT","LORONG TANGGAM","28","Semi-Detached House","na*","4400","2500 to 3000","May-2017"
"1345","SARACA VILLAS","SARACA TERRACE","28","Terrace House","na*","3500","2500 to 3000","Apr-2017"
"1346","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5289","3000 to 3500","Apr-2017"
"1347","LANDED HOUSING DEVELOPMENT","TAMARIND ROAD","28","Semi-Detached House","na*","5400","3500 to 4000","Apr-2017"
"1348","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","3550","2500 to 3000","Apr-2017"
"1349","LUXUS HILLS","SELETAR GREEN WALK","28","Terrace House","na*","4100","3000 to 3500","Apr-2017"
"1350","MUGLISTON HILL","MUGLISTON PARK","28","Terrace House","na*","3100","2000 to 2500","Apr-2017"
"1351","LANDED HOUSING DEVELOPMENT","PLATINA ROAD","27","Terrace House","na*","4500","2000 to 2500","Apr-2017"
"1352","SEMBAWANG SPRINGS ESTATE","JALAN SALANG","27","Terrace House","na*","4800","1500 to 2000","Apr-2017"
"1353","STRATTON PARK","STRATTON DRIVE","28","Terrace House","na*","3300","1500 to 2000","Apr-2017"
"1354","SPRINGHILL TERRACE","SUNRISE AVENUE","28","Terrace House","na*","3500","2000 to 2500","Apr-2017"
"1355","SPRINGHILL TERRACE","SUNRISE AVENUE","28","Terrace House","na*","4500","3500 to 4000","Apr-2017"
"1356","LANDED HOUSING DEVELOPMENT","WAK HASSAN DRIVE","27","Detached House","na*","4500","2000 to 2500","Apr-2017"
"1357","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5108","3000 to 3500","Apr-2017"
"1358","SEMBAWANG SPRINGS ESTATE","JALAN KEMUNING","27","Terrace House","na*","2600","1000 to 1500","Apr-2017"
"1359","KELULUT HILL","KELULUT HILL","28","Terrace House","na*","3000","1500 to 2000","Apr-2017"
"1360","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4500","3000 to 3500","Apr-2017"
"1361","SEMBAWANG SPRINGS ESTATE","JALAN KEMUNING","27","Semi-Detached House","na*","3800","2000 to 2500","Apr-2017"
"1362","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","na*","4300","2000 to 2500","Apr-2017"
"1363","SEMBAWANG SPRINGS ESTATE","JALAN KEMUNING","27","Semi-Detached House","na*","3500","1500 to 2000","Apr-2017"
"1364","SELETAR HILLS ESTATE","JALAN REDOP","28","Semi-Detached House","na*","2800","1500 to 2000","Apr-2017"
"1365","SUNRISE VILLA","SUNRISE AVENUE","28","Semi-Detached House","na*","3700","2000 to 2500","Mar-2017"
"1366","LANDED HOUSING DEVELOPMENT","SELETAR GREEN VIEW","28","Terrace House","na*","4000","2000 to 2500","Mar-2017"
"1367","STRATTON PARK","STRATTON DRIVE","28","Terrace House","na*","3700","1500 to 2000","Mar-2017"
"1368","LANDED HOUSING DEVELOPMENT","WAK HASSAN DRIVE","27","Terrace House","na*","6200","4000 to 4500","Mar-2017"
"1369","SEMBAWANG STRAITS ESTATE","JALAN MACHANG","27","Semi-Detached House","na*","3500","1000 to 1500","Mar-2017"
"1370","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","na*","4800","2000 to 2500","Mar-2017"
"1371","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","na*","4300","2000 to 2500","Mar-2017"
"1372","LANDED HOUSING DEVELOPMENT","TAMARIND ROAD","28","Semi-Detached House","na*","8000","3500 to 4000","Mar-2017"
"1373","SELETAR HILLS ESTATE","JALAN LEKUB","28","Semi-Detached House","na*","3000","1500 to 2000","Mar-2017"
"1374","LANDED HOUSING DEVELOPMENT","NIM DRIVE","28","Semi-Detached House","na*","4600","3000 to 3500","Mar-2017"
"1375","HOCK SWEE HILL","BEGONIA TERRACE","28","Semi-Detached House","na*","5200","2500 to 3000","Mar-2017"
"1376","SELETAR HILLS ESTATE","JALAN JARAK","28","Semi-Detached House","na*","2500","1000 to 1500","Mar-2017"
"1377","SPRINGHILL","SEMBAWANG WALK","27","Terrace House","na*","5100","2500 to 3000","Mar-2017"
"1378","KELULUT HILL","KELULUT HILL","28","Terrace House","na*","3300","1500 to 2000","Mar-2017"
"1379","SELETAR HILLS ESTATE","NERAM ROAD","28","Semi-Detached House","na*","4600","2500 to 3000","Mar-2017"
"1380","SPRINGHILL TERRACE","SUNRISE AVENUE","28","Detached House","na*","7000","4500 to 5000","Mar-2017"
"1381","LANDED HOUSING DEVELOPMENT","JALAN TARI PIRING","28","Terrace House","na*","3400","1000 to 1500","Mar-2017"
"1382","STRATTON GREEN","NIM GREEN","28","Terrace House","na*","4700","2000 to 2500","Mar-2017"
"1383","LANDED HOUSING DEVELOPMENT","JALAN TARI SERIMPI","28","Terrace House","na*","3540","2500 to 3000","Mar-2017"
"1384","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","3100","2500 to 3000","Mar-2017"
"1385","SELETAR HILLS ESTATE","SELETAR HILLS DRIVE","28","Semi-Detached House","na*","2500","<= 1000","Mar-2017"
"1386","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5569","2500 to 3000","Mar-2017"
"1387","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","7800","4000 to 4500","Mar-2017"
"1388","LANDED HOUSING DEVELOPMENT","WAK HASSAN DRIVE","27","Semi-Detached House","na*","6500","3500 to 4000","Mar-2017"
"1389","MIMOSA VILLAS","MIMOSA WALK","28","Semi-Detached House","na*","4900","3000 to 3500","Mar-2017"
"1390","SEMBAWANG STRAITS ESTATE","ANDREWS AVENUE","27","Detached House","na*","2500","1000 to 1500","Mar-2017"
"1391","LANDED HOUSING DEVELOPMENT","JALAN SAJAK","27","Semi-Detached House","na*","6000","3000 to 3500","Mar-2017"
"1392","SELETAR GARDEN","CACTUS ROAD","28","Terrace House","na*","3200","3500 to 4000","Mar-2017"
"1393","SELETAR HILLS ESTATE","SELETAR HILLS DRIVE","28","Semi-Detached House","na*","2300","2000 to 2500","Mar-2017"
"1394","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4500","3500 to 4000","Mar-2017"
"1395","SELETAR HILLS ESTATE","JALAN KECHUBONG","28","Detached House","na*","2500","1000 to 1500","Feb-2017"
"1396","LANDED HOUSING DEVELOPMENT","MIMOSA DRIVE","28","Terrace House","na*","4600","2500 to 3000","Feb-2017"
"1397","SELETAR HILLS ESTATE","NERAM ROAD","28","Terrace House","na*","2500","1500 to 2000","Feb-2017"
"1398","SELETAR HILLS ESTATE","JALAN BANGAU","28","Semi-Detached House","na*","2200","1000 to 1500","Feb-2017"
"1399","LILAC PARK","LILAC ROAD","28","Semi-Detached House","na*","4300","2500 to 3000","Feb-2017"
"1400","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5000","2500 to 3000","Feb-2017"
"1401","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","3900","2500 to 3000","Feb-2017"
"1402","SUNRISE VILLA","SUNRISE WALK","28","Terrace House","na*","4100","2000 to 2500","Feb-2017"
"1403","SUNRISE VILLA","SUNRISE WALK","28","Terrace House","na*","4000","2000 to 2500","Feb-2017"
"1404","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","3900","2000 to 2500","Feb-2017"
"1405","SELETAR HILLS ESTATE","JALAN LEBAT DAUN","28","Semi-Detached House","na*","2000","2000 to 2500","Feb-2017"
"1406","LANDED HOUSING DEVELOPMENT","TAMARIND ROAD","28","Semi-Detached House","na*","4400","4000 to 4500","Feb-2017"
"1407","SEMBAWANG SPRINGS ESTATE","JALAN HIKAYAT","27","Semi-Detached House","na*","3500","2500 to 3000","Feb-2017"
"1408","FLORIDA PARK","SUNRISE WAY","28","Terrace House","na*","4000","2000 to 2500","Feb-2017"
"1409","SUNRISE VILLA","SUNRISE DRIVE","28","Semi-Detached House","na*","3200","2500 to 3000","Feb-2017"
"1410","LANDED HOUSING DEVELOPMENT","SELETAR GREEN VIEW","28","Terrace House","na*","4600","2000 to 2500","Feb-2017"
"1411","SEMBAWANG PARK","JALAN LENGKOK SEMBAWANG","27","Semi-Detached House","na*","1700","1000 to 1500","Feb-2017"
"1412","SELETAR HILLS ESTATE","JALAN CHERMAI","28","Terrace House","na*","4000","2000 to 2500","Feb-2017"
"1413","TUAN SING PARK","YIO CHU KANG ROAD","28","Semi-Detached House","na*","8500","3000 to 3500","Feb-2017"
"1414","SEMBAWANG STRAITS ESTATE","JALAN BASONG","27","Semi-Detached House","na*","4200","1500 to 2000","Feb-2017"
"1415","LANDED HOUSING DEVELOPMENT","JALAN KETUMBIT","28","Terrace House","na*","4200","3500 to 4000","Feb-2017"
"1416","MUGLISTON HILL","MUGLISTON WALK","28","Terrace House","na*","2800","2000 to 2500","Feb-2017"
"1417","SEMBAWANG STRAITS ESTATE","SEMBAWANG ROAD","27","Semi-Detached House","na*","2850","1500 to 2000","Feb-2017"
"1418","MUGLISTON HILL","MUGLISTON WALK","28","Semi-Detached House","na*","3600","2500 to 3000","Feb-2017"
"1419","SUNRISE VILLA","SUNRISE TERRACE","28","Terrace House","na*","2500","1500 to 2000","Feb-2017"
"1420","LANDED HOUSING DEVELOPMENT","MIMOSA VIEW","28","Terrace House","na*","3400","2000 to 2500","Feb-2017"
"1421","LANDED HOUSING DEVELOPMENT","SELETAR HILLS DRIVE","28","Semi-Detached House","na*","3900","2000 to 2500","Feb-2017"
"1422","LANDED HOUSING DEVELOPMENT","MIMOSA PLACE","28","Terrace House","na*","4800","2000 to 2500","Jan-2017"
"1423","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","4100","2000 to 2500","Jan-2017"
"1424","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","4000","1500 to 2000","Jan-2017"
"1425","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5195","2500 to 3000","Jan-2017"
"1426","SARACA GARDENS","SARACA WALK","28","Terrace House","na*","3000","2000 to 2500","Jan-2017"
"1427","LANDED HOUSING DEVELOPMENT","MIMOSA PLACE","28","Terrace House","na*","2900","2000 to 2500","Jan-2017"
"1428","SELETAR HILLS ESTATE","JALAN CHERMAI","28","Terrace House","na*","3500","2500 to 3000","Jan-2017"
"1429","LILAC PARK","NIM ROAD","28","Semi-Detached House","na*","4000","2500 to 3000","Jan-2017"
"1430","VILLA BEGONIA","BEGONIA WALK","28","Detached House","na*","9300","2500 to 3000","Jan-2017"
"1431","SELETAR HILLS ESTATE","JALAN REDOP","28","Semi-Detached House","na*","5500","3500 to 4000","Jan-2017"
"1432","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","na*","4200","1500 to 2000","Jan-2017"
"1433","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","3800","2000 to 2500","Jan-2017"
"1434","SELETAR HILLS ESTATE","KASAI ROAD","28","Terrace House","na*","3200","1500 to 2000","Jan-2017"
"1435","CABANA","SUNRISE TERRACE","28","Terrace House","na*","6500","2500 to 3000","Jan-2017"
"1436","SEMBAWANG SQUARE ESTATE","SEMBAWANG ROAD","27","Semi-Detached House","na*","3600","2000 to 2500","Jan-2017"
"1437","FLORIDA PARK","SUNRISE WAY","28","Semi-Detached House","na*","4000","2000 to 2500","Jan-2017"
"1438","LANDED HOUSING DEVELOPMENT","YIO CHU KANG ROAD","28","Semi-Detached House","na*","12000","6500 to 7000","Jan-2017"
"1439","SERENE PARK","TAMARIND ROAD","28","Semi-Detached House","na*","8500","2000 to 2500","Jan-2017"
"1440","SEMBAWANG PARK","JALAN LENGKOK SEMBAWANG","27","Semi-Detached House","na*","5500","1000 to 1500","Jan-2017"
"1441","LANDED HOUSING DEVELOPMENT","LORONG TANGGAM","28","Semi-Detached House","na*","2900","1000 to 1500","Jan-2017"
"1442","SEMBAWANG PARK","JALAN LENGKOK SEMBAWANG","27","Semi-Detached House","na*","5500","1000 to 1500","Jan-2017"
"1443","LANDED HOUSING DEVELOPMENT","SUNRISE AVENUE","28","Terrace House","na*","3800","3000 to 3500","Jan-2017"
"1444","LANDED HOUSING DEVELOPMENT","SEMBAWANG ROAD","27","Terrace House","na*","15500","3500 to 4000","Jan-2017"
"1445","SELETAR HILLS ESTATE","SELETAR HILLS DRIVE","28","Semi-Detached House","na*","3000","1500 to 2000","Jan-2017"
"1446","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4500","3500 to 4000","Jan-2017"
"1447","SUMMER VILLAS","GERALD DRIVE","28","Terrace House","na*","5300","3000 to 3500","Jan-2017"
"1448","SUNRISE VILLA","SUNRISE DRIVE","28","Terrace House","na*","2800","1500 to 2000","Jan-2017"
"1449","SEMBAWANG SPRINGS ESTATE","JALAN KEMUNING","27","Terrace House","na*","1600","1000 to 1500","Jan-2017"
"1450","SEMBAWANG SPRINGS ESTATE","JALAN KEMUNING","27","Terrace House","na*","2500","1000 to 1500","Jan-2017"
"1451","LANDED HOUSING DEVELOPMENT","JALAN KERUING","28","Terrace House","na*","4500","3000 to 3500","Jan-2017"
"1452","LANDED HOUSING DEVELOPMENT","YIO CHU KANG ROAD","28","Detached House","na*","5000","3000 to 3500","Jan-2017"
"1453","SUNRISE VILLA","SUNRISE AVENUE","28","Semi-Detached House","na*","3200","1500 to 2000","Jan-2017"
"1454","DEDAP GARDENS","DEDAP LINK","28","Detached House","na*","8000","4500 to 5000","Jan-2017"
"1455","LANDED HOUSING DEVELOPMENT","JALAN SENDUDOK","27","Detached House","na*","4000","2500 to 3000","Jan-2017"
"1456","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4000","3000 to 3500","Dec-2016"
"1457","SELETAR HILLS ESTATE","SELETAR HILLS DRIVE","28","Semi-Detached House","na*","3380","1500 to 2000","Dec-2016"
"1458","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5195","2500 to 3000","Dec-2016"
"1459","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4200","3000 to 3500","Dec-2016"
"1460","LANDED HOUSING DEVELOPMENT","JALAN BANGAU","28","Semi-Detached House","na*","3700","3000 to 3500","Dec-2016"
"1461","SELETAR HILLS ESTATE","NERAM ROAD","28","Detached House","na*","8000","3000 to 3500","Dec-2016"
"1462","STRAITS GARDENS","ANDREWS TERRACE","27","Terrace House","na*","4000","2000 to 2500","Dec-2016"
"1463","SUNRISE VILLA","SUNRISE WALK","28","Terrace House","na*","3700","2000 to 2500","Dec-2016"
"1464","SELETAR HILLS ESTATE","JALAN SINDOR","28","Semi-Detached House","na*","2300","1000 to 1500","Dec-2016"
"1465","CABANA","SUNRISE TERRACE","28","Terrace House","na*","3800","2500 to 3000","Dec-2016"
"1466","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4500","3500 to 4000","Dec-2016"
"1467","SELETAR HILLS ESTATE","NIM CRESCENT","28","Detached House","na*","7143","4000 to 4500","Dec-2016"
"1468","LANDED HOUSING DEVELOPMENT","SELETAR GREEN VIEW","28","Semi-Detached House","na*","4800","2000 to 2500","Dec-2016"
"1469","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","3500","2500 to 3000","Dec-2016"
"1470","SELETAR HILLS ESTATE","JALAN KETUMBIT","28","Semi-Detached House","na*","3800","1500 to 2000","Dec-2016"
"1471","LANDED HOUSING DEVELOPMENT","SARACA HILL","28","Detached House","na*","5500","4000 to 4500","Dec-2016"
"1472","EATON PARK","GERALD DRIVE","28","Detached House","na*","5500","2500 to 3000","Dec-2016"
"1473","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5000","3000 to 3500","Dec-2016"
"1474","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4000","2500 to 3000","Dec-2016"
"1475","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4500","3000 to 3500","Dec-2016"
"1476","SPRINGHILL TERRACE","SUNRISE AVENUE","28","Terrace House","na*","4800","2500 to 3000","Dec-2016"
"1477","VILLA BEGONIA","BEGONIA LANE","28","Terrace House","na*","3600","2500 to 3000","Dec-2016"
"1478","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4915","2500 to 3000","Dec-2016"
"1479","CABANA","SUNRISE TERRACE","28","Semi-Detached House","na*","6250","3500 to 4000","Nov-2016"
"1480","ESTE VILLA","NIM ROAD","28","Terrace House","na*","6000","3000 to 3500","Nov-2016"
"1481","LANDED HOUSING DEVELOPMENT","JALAN MATA AYER","27","Semi-Detached House","na*","3100","2000 to 2500","Nov-2016"
"1482","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4600","2500 to 3000","Nov-2016"
"1483","LANDED HOUSING DEVELOPMENT","BEGONIA TERRACE","28","Detached House","na*","12600","2500 to 3000","Nov-2016"
"1484","LANDED HOUSING DEVELOPMENT","NIM DRIVE","28","Detached House","na*","10500","5000 to 5500","Nov-2016"
"1485","SEMBAWANG PARK","JALAN MATA AYER","27","Terrace House","na*","1750","1000 to 1500","Nov-2016"
"1486","BELGRAVIA PARK","SELETAR TERRACE","28","Terrace House","na*","3600","2000 to 2500","Nov-2016"
"1487","TUAN SING PARK","UPPER NERAM ROAD","28","Semi-Detached House","na*","3300","2000 to 2500","Nov-2016"
"1488","SEMBAWANG GARDENS ARCADE","JALAN LEGUNDI","27","Semi-Detached House","na*","5500","1500 to 2000","Nov-2016"
"1489","SARACA GARDENS","SARACA WALK","28","Semi-Detached House","na*","4100","2500 to 3000","Nov-2016"
"1490","SELETAR VIEW","SELETAR HILLS DRIVE","28","Terrace House","na*","4000","1500 to 2000","Nov-2016"
"1491","SEMBAWANG PARK","JALAN LENGKOK SEMBAWANG","27","Semi-Detached House","na*","2600","1000 to 1500","Nov-2016"
"1492","SEMBAWANG STRAITS ESTATE","JALAN MACHANG","27","Semi-Detached House","na*","2400","1000 to 1500","Nov-2016"
"1493","SELETAR HILLS ESTATE","NERAM ROAD","28","Terrace House","na*","3600","1000 to 1500","Nov-2016"
"1494","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4900","3000 to 3500","Nov-2016"
"1495","LANDED HOUSING DEVELOPMENT","JALAN TARI ZAPIN","28","Terrace House","na*","2500","<= 1000","Nov-2016"
"1496","MIMOSA TERRACE","MIMOSA TERRACE","28","Terrace House","na*","3600","2000 to 2500","Nov-2016"
"1497","DEDAP GARDENS","DEDAP PLACE","28","Semi-Detached House","na*","4500","3000 to 3500","Nov-2016"
"1498","SELETAR HILLS ESTATE","SARACA ROAD","28","Semi-Detached House","na*","2800","1500 to 2000","Nov-2016"
"1499","SUNRISE VILLA","SUNRISE CLOSE","28","Terrace House","na*","2750","1500 to 2000","Nov-2016"
"1500","SEMBAWANG SQUARE ESTATE","SEMBAWANG ROAD","27","Semi-Detached House","na*","3200","2000 to 2500","Nov-2016"
"1501","LANDED HOUSING DEVELOPMENT","BEGONIA ROAD","28","Semi-Detached House","na*","4800","2500 to 3000","Nov-2016"
"1502","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","3500","2000 to 2500","Nov-2016"
"1503","SELETAR HILLS ESTATE","NERAM ROAD","28","Terrace House","na*","2500","1500 to 2000","Nov-2016"
"1504","GERALD GARDENS","GERALD CRESCENT","28","Terrace House","na*","5000","2000 to 2500","Nov-2016"
"1505","SELETAR HILLS ESTATE","JALAN KERUING","28","Terrace House","na*","3200","1000 to 1500","Nov-2016"
"1506","KELULUT HILL","KELULUT HILL","28","Terrace House","na*","4200","2000 to 2500","Nov-2016"
"1507","LANDED HOUSING DEVELOPMENT","WAK HASSAN DRIVE","27","Semi-Detached House","na*","5700","2500 to 3000","Oct-2016"
"1508","LANDED HOUSING DEVELOPMENT","SELETAR GREEN VIEW","28","Semi-Detached House","na*","4400","2000 to 2500","Oct-2016"
"1509","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4000","2500 to 3000","Oct-2016"
"1510","STRATTON PARK","STRATTON DRIVE","28","Terrace House","na*","2800","1500 to 2000","Oct-2016"
"1511","LUXUS HILLS","SELETAR GREEN WALK","28","Terrace House","na*","4200","3000 to 3500","Oct-2016"
"1512","SELETAR HILLS ESTATE","JALAN KECHUBONG","28","Detached House","na*","4500","1500 to 2000","Oct-2016"
"1513","STRATTON PARK","STRATTON DRIVE","28","Semi-Detached House","na*","5500","2500 to 3000","Oct-2016"
"1514","LANDED HOUSING DEVELOPMENT","JALAN PERADUN","28","Semi-Detached House","na*","5000","2500 to 3000","Oct-2016"
"1515","SPRINGHILL","SEMBAWANG WALK","27","Terrace House","na*","3800","2500 to 3000","Oct-2016"
"1516","BELGRAVIA PARK","SELETAR TERRACE","28","Semi-Detached House","na*","5300","2500 to 3000","Oct-2016"
"1517","LANDED HOUSING DEVELOPMENT","WAK HASSAN DRIVE","27","Semi-Detached House","na*","6500","3500 to 4000","Oct-2016"
"1518","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","4200","2000 to 2500","Oct-2016"
"1519","SUNRISE VILLA","SUNRISE WALK","28","Terrace House","na*","4500","2000 to 2500","Oct-2016"
"1520","SEMBAWANG SPRINGS ESTATE","JALAN SALANG","27","Terrace House","na*","2900","1000 to 1500","Oct-2016"
"1521","LANDED HOUSING DEVELOPMENT","JALAN KAYU","28","Semi-Detached House","na*","3700","2500 to 3000","Oct-2016"
"1522","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4400","3000 to 3500","Oct-2016"
"1523","SELETAR HILLS ESTATE","JALAN KECHUBONG","28","Semi-Detached House","na*","2300","1000 to 1500","Oct-2016"
"1524","LANDED HOUSING DEVELOPMENT","BEGONIA DRIVE","28","Semi-Detached House","na*","4000","2000 to 2500","Oct-2016"
"1525","SEMBAWANG PARK","JALAN LENGKOK SEMBAWANG","27","Semi-Detached House","na*","3900","1500 to 2000","Oct-2016"
"1526","LANDED HOUSING DEVELOPMENT","GERALD PARK","28","Semi-Detached House","na*","5600","2000 to 2500","Oct-2016"
"1527","LANDED HOUSING DEVELOPMENT","PLATINA ROAD","27","Terrace House","na*","3500","3500 to 4000","Oct-2016"
"1528","ESTE VILLA","NIM ROAD","28","Terrace House","na*","5100","3000 to 3500","Oct-2016"
"1529","LANDED HOUSING DEVELOPMENT","SELETAR GREEN VIEW","28","Terrace House","na*","4000","2000 to 2500","Oct-2016"
"1530","STRATTON PARK","STRATTON PLACE","28","Terrace House","na*","3250","1500 to 2000","Oct-2016"
"1531","SPRINGHILL","SEMBAWANG WALK","27","Terrace House","na*","5600","2500 to 3000","Oct-2016"
"1532","KELULUT HILL","KELULUT HILL","28","Terrace House","na*","2800","1500 to 2000","Oct-2016"
"1533","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4408","3000 to 3500","Oct-2016"
"1534","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4000","3000 to 3500","Oct-2016"
"1535","TUAN SING PARK","DEDAP ROAD","28","Semi-Detached House","na*","3300","2500 to 3000","Oct-2016"
"1536","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4800","3000 to 3500","Sep-2016"
"1537","ESTE VILLA","NIM ROAD","28","Terrace House","na*","5600","3000 to 3500","Sep-2016"
"1538","LILAC PARK","LILAC DRIVE","28","Terrace House","na*","4300","1500 to 2000","Sep-2016"
"1539","SUNRISE VILLA","SUNRISE CLOSE","28","Terrace House","na*","3300","1500 to 2000","Sep-2016"
"1540","SELETAR HILLS ESTATE","JALAN JARAK","28","Semi-Detached House","na*","2800","1000 to 1500","Sep-2016"
"1541","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5663","3000 to 3500","Sep-2016"
"1542","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4500","3000 to 3500","Sep-2016"
"1543","SELETAR HILLS ESTATE","JALAN SELASEH","28","Semi-Detached House","na*","2500","1000 to 1500","Sep-2016"
"1544","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4400","3000 to 3500","Sep-2016"
"1545","LANDED HOUSING DEVELOPMENT","TAMARIND ROAD","28","Semi-Detached House","na*","5300","4000 to 4500","Sep-2016"
"1546","LANDED HOUSING DEVELOPMENT","YIO CHU KANG ROAD","28","Detached House","na*","4300","3000 to 3500","Sep-2016"
"1547","ESTE VILLA","NIM ROAD","28","Terrace House","na*","5600","3500 to 4000","Sep-2016"
"1548","SELETAR GARDEN","CACTUS CRESCENT","28","Detached House","na*","7000","4000 to 4500","Sep-2016"
"1549","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4922","3000 to 3500","Sep-2016"
"1550","LANDED HOUSING DEVELOPMENT","JALAN SENDUDOK","27","Detached House","na*","6500","2500 to 3000","Sep-2016"
"1551","SEMBAWANG SPRINGS ESTATE","JALAN SHAER","27","Detached House","na*","4500","2500 to 3000","Sep-2016"
"1552","MIMOSA VALE","MIMOSA VALE","28","Terrace House","na*","3200","2000 to 2500","Sep-2016"
"1553","LANDED HOUSING DEVELOPMENT","JALAN HIKAYAT","27","Detached House","na*","6250","4000 to 4500","Sep-2016"
"1554","SEMBAWANG SPRINGS ESTATE","JALAN CHERPEN","27","Detached House","na*","7500","3000 to 3500","Sep-2016"
"1555","CABANA","SUNRISE TERRACE","28","Terrace House","na*","4000","2500 to 3000","Sep-2016"
"1556","SELETAR VIEW","SELETAR HILLS DRIVE","28","Terrace House","na*","4000","1500 to 2000","Sep-2016"
"1557","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","4200","2000 to 2500","Sep-2016"
"1558","SEMBAWANG STRAITS ESTATE","JALAN GAPIS","27","Semi-Detached House","na*","3000","1000 to 1500","Sep-2016"
"1559","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4700","3000 to 3500","Sep-2016"
"1560","ESTE VILLA","NIM ROAD","28","Terrace House","na*","5500","3000 to 3500","Sep-2016"
"1561","ESTE VILLA","NIM ROAD","28","Terrace House","na*","4800","3000 to 3500","Aug-2016"
"1562","LANDED HOUSING DEVELOPMENT","NERAM ROAD","28","Detached House","na*","10000","2500 to 3000","Aug-2016"
"1563","LANDED HOUSING DEVELOPMENT","WAK HASSAN PLACE","27","Semi-Detached House","na*","7800","3500 to 4000","Aug-2016"
"1564","SUNRISE VILLA","SUNRISE TERRACE","28","Terrace House","na*","3200","1500 to 2000","Aug-2016"
"1565","LANDED HOUSING DEVELOPMENT","SELETAR CRESCENT","28","Semi-Detached House","na*","3900","2500 to 3000","Aug-2016"
"1566","THE SHAUGHNESSY","MILTONIA CLOSE","27","Terrace House","na*","5400","2000 to 2500","Aug-2016"
"1567","ESTE VILLA","NIM ROAD","28","Terrace House","na*","5200","3000 to 3500","Aug-2016"
"1568","LUXUS HILLS","LUXUS HILL AVENUE","28","Terrace House","na*","4000","2000 to 2500","Aug-2016"
"1569","CABANA","SUNRISE TERRACE","28","Terrace House","na*","5389","3000 to 3500","Aug-2016"
