"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq ft)","Lease Commencement Date"
"164","LANDED HOUSING DEVELOPMENT","SELETAR CLOSE","28","Detached House","NA","11000","6500 to 7000","Aug-2020"
"165","MUGLISTON HILL","MUGLISTON WALK","28","Semi-Detached House","NA","3800","2500 to 3000","Aug-2020"
"166","LANDED HOUSING DEVELOPMENT","WAK HASSAN DRIVE","27","Terrace House","NA","6500","2500 to 3000","Aug-2020"
"167","SELETAR HILLS ESTATE","JALAN KELULUT","28","Semi-Detached House","NA","5200","3000 to 3500","Aug-2020"
"168","KELULUT HILL","KELULUT HILL","28","Terrace House","NA","3000","2000 to 2500","Aug-2020"
"169","SELETAR HILLS ESTATE","KASAI ROAD","28","Terrace House","NA","2000","1500 to 2000","Aug-2020"
"170","LUXUS HILLS","LUXUS HILL DRIVE","28","Semi-Detached House","NA","6600","2000 to 2500","Aug-2020"
"171","SELETAR HILLS ESTATE","MIMOSA CRESCENT","28","Detached House","NA","10000","7500 to 8000","Aug-2020"
"172","FLORIDA PARK","SUNRISE DRIVE","28","Semi-Detached House","NA","6500","4000 to 4500","Aug-2020"
"173","ESTE VILLA","NIM ROAD","28","Terrace House","NA","4800","3000 to 3500","Aug-2020"
"174","LANDED HOUSING DEVELOPMENT","SELETAR HILLS DRIVE","28","Terrace House","NA","3200","2000 to 2500","Aug-2020"
"175","CABANA","SUNRISE TERRACE","28","Terrace House","NA","5363","3000 to 3500","Aug-2020"
"176","MIMOSA TERRACE","MIMOSA TERRACE","28","Terrace House","NA","4000","1500 to 2000","Aug-2020"
"177","SEMBAWANG SPRINGS ESTATE","JALAN KEMUNING","27","Terrace House","NA","2800","1500 to 2000","Aug-2020"
"178","CABANA","SUNRISE TERRACE","28","Terrace House","NA","4889","2500 to 3000","Aug-2020"
"179","ESTE VILLA","NIM ROAD","28","Terrace House","NA","5700","3000 to 3500","Aug-2020"
"180","SELETAR HILLS ESTATE","JALAN JARAK","28","Semi-Detached House","NA","2700","<= 1000","Aug-2020"
"181","LANDED HOUSING DEVELOPMENT","SUNRISE AVENUE","28","Semi-Detached House","na*","4600","4000 to 4500","Jul-2020"
"182","SELETAR HILLS ESTATE","JALAN JARAK","28","Semi-Detached House","na*","3000","1000 to 1500","Jul-2020"
"183","LANDED HOUSING DEVELOPMENT","WAK HASSAN PLACE","27","Semi-Detached House","na*","5800","2000 to 2500","Jul-2020"
"184","CAMELIA PARK","TAMARIND ROAD","28","Semi-Detached House","na*","3300","2500 to 3000","Jul-2020"
"185","CABANA","SUNRISE TERRACE","28","Semi-Detached House","NA","5315","3000 to 3500","Jul-2020"
